Title,Description,Label
Wind industry predicts bounceback and rapid growth in 2023,"The wind power industry on Monday projected growth to rapidly accelerate this year, with incentives and policy changes in key nations helping to overcome factors that led to a slowdown in 2022.",1
Netanyahu ally: Plan to overhaul Israeli judiciary delayed,"PARIS (AP) — A big day has come for French high school student Elisa Fares. At age 17, she is taking part in her first protest.",1
"In Macron’s France, streets and fields seethe with protest",In a country that taught the world about people power with its revolution of 1789 — and a country again seething with anger against its leaders — graduating from bystander to demonstrator is a generations-old rite of passage.,1
A steel plant ready for war shows hit to Ukraine’s economy,"ZAPORIZHZHIA, Ukraine (AP) — Flak jackets are piled up at Ukraine’s Zaporizhstal steel plant, and anti-tank traps guard the entrance. Whenever air raid sirens sound — and they go off every day — most workers head to one of the 16 bomb shelters scattered across the sprawling grounds.",1
North Korea test-fires 2 more missiles as US sends carrier,"SEOUL, South Korea (AP) — Fighter jets roared off the USS Nimitz as the nuclear-powered U.S. aircraft carrier and its battle group began exercises with South Korean warships on Monday, hours after North Korea fired two short-range ballistic missiles in an apparent protest of the allies’ expanding drills.",1
"Amid strained US ties, China finds unlikely friend in Utah","SALT LAKE CITY (AP) — China’s global campaign to win friends and influence policy has blossomed in a surprising place: Utah, a deeply religious and conservative state with few obvious ties to the world’s most powerful communist country.",1
Key takeaways from AP’s report on China’s influence in Utah,"SALT LAKE CITY (AP) — China's global influence campaign has been surprisingly robust and successful in Utah, an investigation by The Associated Press has found.",1
UN-backed probe cites crimes against humanity in Libya,"GENEVA (AP) — U.N.-backed human rights experts said Monday there is evidence that crimes against humanity have been committed against Libyans and migrants in chaos-stricken Libya, including women being forced into sexual slavery.",1
Europe,"MUQDADIYAH, Iraq (AP) — Hussein Maytham and his family were driving past the palm tree grove near their home after a quiet evening shopping for toys for his younger cousins when their car hit a bomb planted on the moon-lit road.",1
Asia,"NEW DELHI (AP) — India's top opposition leader and fierce critic of Prime Minister Narendra Modi was expelled from Parliament Friday, a day after a court convicted him of defamation and sentenced him to two years in prison for mocking the surname Modi in an election speech.",1
Latin America,"CANBERRA, Australia (AP) — The Australian government took a major step toward implementing a key climate policy that would force chief greenhouse gas polluters to reduce emissions, with the minor Greens party pledging their support Monday.",1
Middle East,ROME (AP) — The Florence museum housing Michelangelo’s Renaissance masterpiece the David on Sunday invited parents and students from a Florida charter school to visit after complaints about a lesson featuring the statue forced the principal to resign.,1
Africa,"LONDON (AP) — Black children in England and Wales were six times more likely to be strip-searched by police, according to a report being released Monday that found children were failed by those sworn to protect them.",1
Spiking violence strains sectarian ties in Iraqi province,"KYIV, Ukraine (AP) — Ukraine's government on Sunday called for an emergency meeting of the U.N. Security Council to “counter the Kremlin's nuclear blackmail” after Russian President Vladimir Putin revealed plans to station tactical atomic weapons in Belarus.",1
"India expels Rahul Gandhi, Modi critic, from Parliament","BERLIN (AP) — A Sunday referendum in Berlin that would have forced the city to ramp up its climate goals failed because there weren't enough votes in favor of the proposal, the German news agency dpa reported.",1
Australia steps toward making big polluters reduce emissions,"BERLIN (AP) — Lufthansa's operations were disrupted Sunday at Frankfurt airport because of technical problems, German news agency dpa reported.",1
"Is the David porn? Come see, Italians tell Florida parents","Check-in systems on the airline's website and at the counter, as well as boarding, were affected at Germany's biggest airport, a Lufthansa spokeswoman told dpa.",1
Black kids in England 6 times more likely to be strip-searched by police,"HONG KONG (AP) — Dozens of people on Sunday joined Hong Kong's first authorized protest since the lifting of major COVID-19 restrictions under unprecedentedly strict rules, including wearing a numbered badge around their necks.",1
Ukraine demands emergency UN meeting over Putin nuclear plan,"KYIV, Ukraine (AP) — The courtyards of the Kyiv-Pechersk Lavra have been busy with more than just the usual worshippers, going to and from its churches in the sprawling monastic complex that is Ukraine’s most revered Orthodox site.",1
Berlin climate proposal fails to get enough yes votes to win,"TALLINN, Estonia (AP) — Advertisements promise cash bonuses and enticing benefits. Recruiters are making cold calls to eligible men. Enlistment offices are working with universities and social service agencies to lure students and the unemployed.",1
"AP-Week in Pictures: Global / March 18-24, 2023","MOSCOW (AP) — Russian President Vladimir Putin announced plans on Saturday to station tactical nuclear weapons in neighboring Belarus, a warning to the West as it steps up military support for Ukraine.",1
Technical issues at Lufthansa cause delays in Frankfurt,JERUSALEM (AP) — Israel's defense minister became the first ally in Prime Minister Benjamin Netanyahu's coalition to break ranks on Saturday as he called for an immediate halt to the far-right government's contentious plan to overhaul the country's judiciary.,1
Hong Kongers hold first protest in years under strict rules,"BEIRUT (AP) — Iran-backed fighters were on alert in eastern Syria on Saturday, a day afte r U.S. forces launched retaliatory airstrikes on sites in the war-torn country, opposition activists said.",1
Tensions on the rise at revered Kyiv monastery complex,"UNITED NATIONS (AP) — The West’s steady criticism of Hungary on democratic and cultural issues makes the small European country’s right-wing government reluctant to offer support on practical matters, specifically NATO’s buildup against Russia, Hungary’s foreign minister said.",1
New Russian campaign tries to entice men to fight in Ukraine,BERLIN (AP) — Voters in Berlin go to the polls this weekend to decide on a proposal that would force the city government to drastically ramp up the German capital’s climate goals. Critics warn it could come with a steep price tag.,1
Putin says Russia will station tactical nukes in Belarus,"KYIV, Ukraine (AP) — The top commander of Ukraine's military said Saturday that his forces were pushing back against Russian troops in the long and grinding battle for the town of Bakhmut, and British military intelligence says Russia appears to be moving to a defensive strategy in eastern Ukraine.",1
Israeli defense minister calls for halt to judicial overhaul,"PRAGUE (AP) — Emil Bocek, the last living Czech pilot who fought the Nazis while serving with Britain's Royal Air Force during World War II, has died at age 100.",1
Iran-backed fighters on alert in east Syria after US strikes,"A community center for war veterans in the Czech Republic city of Brno, his hometown, said Bocek died on Saturday.",1
Hungary: Criticism makes it hard to cooperate with West,"VATICAN CITY (AP) — Pope Francis on Saturday updated a 2019 church law aimed at holding senior churchmen accountable for covering up sexual abuse cases, expanding it to cover lay Catholic leaders and reaffirming that vulnerable adults and not just children can be victims of abuse when they are unable to freely consent.",1
