Title,Description,Label
"Burry, famous for 'Big Short,' bought bearish options against S&P, Nasdaq 100","A man uses an umbrella to guard against snowfall as he walks past the Nasdaq MarketSite in Times Square, Midtown New York March 20, 2015. REUTERS/Adrees Latif

NEW YORK, Aug 14 (Reuters) - Michael Burry, the money manager made famous in the book and film ""The Big Short,"" held bearish options against the broad S&P 500 and Nasdaq 100 Index at the end of the second quarter, according to securities fillings released on Monday.

Burry's Scion Asset Management bought put options with a notional value of $739 million against the popular Invesco QQQ Trust ETF (QQQ.O) during the quarter, and separate put options with a notional value of $886 million against the SPDR S&P 500 ETF (SPY.P).

Put options convey the right to sell shares at a fixed price in the future and are typically bought to express a bearish or defensive view.

It was not clear what the fund paid to buy the puts - an amount that could be a small fraction of their notional value - or the contracts' present value, given that regulatory filings do not require the disclosure of options strikes, purchase prices and expiration dates.

Since the filings disclose only long positions it was also not clear whether the puts were held outright or as part of a larger trade involving other contracts that might have been sold short.

Burry rose to fame with his bets against the U.S. housing market before the 2008 financial crisis. Michael Lewis' nonfiction book ""The Big Short"" was released in 2010 and the movie version came out in 2015.

The S&P 500 (.SPX) is up roughly 17% for the year to date while the Nasdaq 100 (.IXIC) is up nearly 39% over the same period. Outsized gains in a handful of megacap companies such as Nvidia (NVDA.O) and Meta Platforms (META.O) have fueled much of the year's rally.

The filing also showed that the fund liquidated its stakes in Chinese e-commerce company JD.com (9618.HK) and Alibaba Group Holdings (9988.HK), as well as regional banks including PacWest (PACW.O) and Western Alliance Bancorp (WAL.N) that it had bet on in the first quarter.

The firm noted it had sold its 150,000 shares of First Republic Bank (FRCB.PK) as well, but did not indicate whether that came before the company's May 1 collapse.

Among its long positions, the fund more than doubled its stake in online luxury goods market RealReal Inc (REAL.O), which is up nearly 100% for the year to date, and added new stakes in iHeartMedia (IHRT.O), HanesBrands (HBI.N), and Warner Bros. Discovery (WBD.O), among others, the filing showed.

Shares of iHeartMedia and HanesBrands are each down 16% or more for the year to date, while shares of Warner Brothers Discovery are up nearly 43%.

The firm also added 10,000 shares of the iShares MSCI Japan ETF, which is up 13.5% for the year to date.

Scion Asset Management did not respond to a request for comment. Its positions were reported in quarterly filings known as 13-fs, which show its holdings at the end of the most recent quarter and may not reflect current positions. While backward- looking, these filings are one of the few ways that investors can see the positions of institutional investors such as hedge funds.

Burry, who frequently turns over his portfolio, drew wide attention last August when he dumped all of his long positions and bought a stake in prison company Geo Group Inc (GEO.N). He no longer owns shares of the company.

Reporting by David Randall and Saqib Iqbal Ahmed in New York Editing by Ira Iosebashvili and Matthew Lewis

Our Standards: The Thomson Reuters Trust Principles.",1
Russian central bank jacks up rates to 12% to support battered rouble,"A Russian state flag flies over the Central Bank headquarters in Moscow, Russia March 29, 2021. A sign reads: ""Bank of Russia"". REUTERS/Maxim Shemetov/File Photo

Summary

Companies Russian central bank hikes rates by 350 bp to 12%

Bank holds extraordinary meeting after Kremlin rebuke

Rouble had plunged past 100 vs dollar on Monday

Inflationary pressure is building, says central bank

MOSCOW, Aug 15 (Reuters) - Russia's central bank hiked its key interest rate by 350 basis points to 12% on Tuesday, an emergency move to try and halt the rouble's recent slide after a public call from the Kremlin for tighter monetary policy.

The extraordinary rate meeting came after the rouble plummeted past the 100 threshold against the dollar on Monday, dragged down by the impact of Western sanctions on Russia's balance of trade and as military spending soars.

The rouble pared gains after the decision to stand 0.3% weaker at 98.00 by 0948 GMT, but still significantly above lows near 102 on Monday which had not been hit since the early weeks after Russia invaded Ukraine.

President Vladimir Putin's economic adviser Maxim Oreshkin on Monday rebuked the central bank, blaming what he called its soft monetary policy for weakening the rouble.

Hours after Oreshkin's words, the bank announced the emergency meeting, throwing the currency a lifeline.

""Inflationary pressure is building up,"" the bank said in a statement on Tuesday. ""The decision is aimed at limiting price stability risks.

""The pass-through of the rouble's depreciation to prices is gaining momentum and inflation expectations are on the rise.""

Though stopping the rot, analysts largely agreed that the move would not have a long-lasting impact.

""As long as the war continues it just gets worse for Russia, the Russian economy and the rouble,"" said Timothy Ash, senior EM sovereign strategist at Bluebay Asset Management.

""Hiking policy rates won’t solve anything - they might temporarily slow the pace of depreciation of the rouble at the price of slower real GDP growth - unless the core problem, the war and sanctions are resolved.""

Promsvyazbank analysts said an additional hike may be required if the rouble does not stabilise and that measures to reduce the rouble liquidity surplus were also needed.

ECONOMICS OR POLITICS?

Central Bank Governor Elvira Nabiullina has won plaudits for her handling of the economy since Russia began what it calls a ""special military operation"" in Ukraine, but the plunging rouble and high inflation have put her on the back foot, especially among pro-war nationalists.

The Kremlin's public criticism of her monetary policy adds further pressure as Russia heads towards a presidential election in March 2024, with consumers battling rising prices for basic goods.

""While such a depreciation risks boosting inflation, it is also the signal it sends out to the Russian public about the costs of the invasion of Ukraine,"" said Stuart Cole, chief macro economist at Equiti Capital in London.

""As such, today's decision will likely have had an element of politics behind it as well as economics.""

INFLATION PRESSURE

The bank last made an emergency rate hike in late February 2022 with a rate raise to 20% in the immediate fallout of Russia's despatching troops to Ukraine. The bank then steadily lowered the cost of borrowing to 7.5% as strong inflation pressure eased in the second half of 2022.

Since its last cut in September 2022, the bank had held rates but steadily increased its hawkish rhetoric, eventually hiking by 100 basis points to 8.5% at its last scheduled meeting in July. The next rate decision is due on Sept. 15.

Russia saw double-digit inflation in 2022 and after a deceleration in the spring of 2023 due to that high base effect, annual inflation is now above the central bank's 4% target once more and quickening.

In annualised terms on a seasonally adjusted basis, current price growth over the last three months amounted to 7.6% on average, the bank said.

'SLOW THE BLEEDING'

Russia's widening budget deficit and stark labour shortage have contributed to rising inflationary pressure this year, but the rouble's rapid slide from around 70 against the dollar at the start of the year to more than 100 on Monday has pushed the central bank to act.

The bank, which blames the rouble's slide on Russia's shrinking current account surplus - down 85% year-on-year in January-July - has already tried to limit the rouble's decline.

Last week, it halted the finance ministry's FX purchases to try to reduce volatility, a step that effectively saw Russia abandon its budget rule. Analysts widely agreed that those measures alone were too minimal in scope to significantly support the currency.

""Today's rate hike will only temporarily slow the bleeding,"" said Liam Peach, senior emerging markets economist at Capital Economics in London.

""Russia will struggle to attract capital inflows because of sanctions,"" he said. ""And there's little ammunition for FX intervention – the central bank has some unfrozen renminbi assets and gold reserves, but the bar for using these is likely to be high.""

Writing by Alexander Marrow; editing by Guy Faulconbridge and Christina Fincher

Our Standards: The Thomson Reuters Trust Principles.",1
China suspends youth jobless data after record high readings,"Construction workers take a nap in front of a wall of a construction site during their lunch break in Beijing, China, May 5, 2015. REUTERS/Kim Kyung-Hoon /File Photo

Aug 15 (Reuters) - China suspended publication of its youth jobless data on Tuesday, saying it needed to review the methodology behind the closely watched benchmark, which has hit record highs in one of many warning signs for the world's second-largest economy.

The decision announced shortly after the release of weaker-than-expected factory and retail sales data sparked rare backlash on social media amid growing frustration about employment prospects in the country.

It also marks the latest move by Chinese authorities to restrict access to key data and information, a trend that is unnerving overseas investors.

Fu Linghui, a spokesman for the National Bureau of Statistics (NBS), said the release of data would be suspended while authorities look to ""optimise"" collection methods.

""In recent years, the number of university students has continued to expand,"" Fu said. ""The main responsibility of current students is studying. Society has different views on whether students looking for jobs before graduation should be included in labour force surveys and statistics.""

This issue, as well as the definition of the age range currently set at 16-24, ""needs further research,"" Fu said.

In recent months, China has restricted foreign users' access to some corporate registries and academic journals, and cracked down on due diligence firms operating in the country, a vital source of information on China for overseas businesses.

""The declining availability of macro data may further weaken global investors' confidence in China,"" said Ting Lu, chief China economist at Nomura, adding that youth unemployment was expected to have risen in July.

At the height of its COVID-19 outbreak late last year, China abruptly changed the way it classified deaths from the disease, a move that fueled criticism abroad and at home.

Tuesday's move has also been met with scepticism at home as young Chinese face their toughest summer job-hunting season.

The most recent NBS data on youth unemployment, published last month, showed the jobless rate jumping to a record high of 21.3% in June.

Some 47% of graduates returned home within six months of graduation in 2022, up from 43% in 2018, state-run China News Service reported last week, citing a private-sector survey.

""If you close your eyes then it doesn't exist,"" one user wrote on microblogging site Weibo, where a hashtag related to NBS' decision received over 10 million views.

""There is a saying called 'burying your head in the sand',"" wrote another user.

Reporting by Laurie Chen and Albee Zhang; Editing by Muralikumar Anantharaman, Sam Holmes and Gerry Doyle

Our Standards: The Thomson Reuters Trust Principles.









",1
Tesla launches cheaper Model S and X versions in US with shorter ranges,"The logo of car manufacturer Tesla is seen at a branch office in Bern, Switzerland October 28, 2020. REUTERS/Arnd Wiegmann/File Photo

Companies Tesla Inc Follow

Aug 14 (Reuters) - Tesla (TSLA.O) has introduced two cheaper versions of its Model S sedan and Model X SUV in the U.S. with shorter driving ranges, the automaker's website showed on Monday, continuing its focus on driving down costs to prioritize sales growth.

The new S and X ""standard range"" models are priced at $78,490 and $88,490, respectively - about 10% lower than the previous lowest-priced models - and are available for delivery between September and October 2023, the website showed.

The lowest price is for cars with a ""pearly white"" exterior and an all-black interior, with other colors costing extra.

The new Model S has a driving range of up to 320 miles (515 km), lower than the basic and performance, plaid versions that offer up to 405 miles and 396 miles, respectively.

The new Model X SUV has range of up to 269 miles, well below its basic and performance, plaid versions that offer up to 348 miles and 333 miles, respectively.

Tesla did not immediately respond to a request for comment on the new versions of the models.

The Austin, Texas-based automaker has slashed prices in the U.S., China and other markets since late last year, and has offered other incentives to reduce inventory, trying to shield itself against competition and economic uncertainty.

The company on Monday cut prices in China for its Model Y long-range and performance versions, sending shares lower on concerns of further pressure on its profit margins.

The latest moves come as the carmaker readies the first deliveries of its delayed Cybertruck and works to complete a plant in Mexico dedicated to a mass-market EV that will be the basis for a robotaxi.

Tesla's S and X models are the company's oldest offerings, introduced in 2012 and priced at a premium compared to the Model 3 sedan and Model Y crossover vehicles.

The company delivered 19,225 Model X and S vehicles in the second quarter of this year, up from 16,162 vehicles last year.

Reporting by Mrinmay Dey and Abinaya Vijayaraghavan in Bengaluru; Editing by Rashmi Aich, Muralikumar Anantharaman and Jamie Freed

Our Standards: The Thomson Reuters Trust Principles.",1
China cuts key rates as weak batch of July data darkens economic outlook,"Summary

Companies China's industrial output, retail sales growth slows

July data adds to recent raft of weak indicators, point to sluggish recovery

Central bank cuts rates to bolster growth

Property investment extends fall for 17th consecutive month

Some analysts warn of downward economic spiral if support not ramped up

BEIJING, Aug 15 (Reuters) - A broad array of Chinese data on Tuesday highlighted intensifying pressure on the economy from multiple fronts, prompting Beijing to cut key policy rates to shore up activity but analysts say more support is needed to revitalise growth.

Just before the release of a batch of July data, China's central bank unexpectedly chopped one set of key interest rates, and followed it with cuts on other rates hours later, underlining the rapid loss of the post-COVID economic rebound that has shaken global financial markets.

Tuesday's data released by the National Bureau of Statistics (NBS), which comes on top of a raft of weak indicators from last week, showed retail sales, industrial output and investment all growing at a slower than expected pace - indicating the engines of business and consumption in the world's second-biggest economy were severely underpowered.

Additionally, China suspended publishing youth jobless data, which hit a record high of 21.3% in June.

""All the main activity indicators undershot consensus expectations in July, with most either stagnant or barely expanding in month on month terms,"" said Julian Evans-Pritchard, economist at Capital Economics.

""And with financial troubles at developers such as Country Garden likely to weigh on the housing market in the near-term, there is a real risk of the economy slipping into a recession unless policy support is ramped up soon.""

Nomura analysts were equally downbeat on China's economic outlook.

""We believe the Chinese economy is faced with an imminent downward spiral with the worst yet to come, and the rate cut this morning will be of limited help,"" they said.

Most economists see downside risk to Chinese growth but they do not expect a recession.

Industrial output grew 3.7% from a year earlier, slowing from the 4.4% pace seen in June, the NBS data showed, and was below expectations for a 4.4% increase in a Reuters poll of analysts.

Retail sales, a gauge of consumption, rose 2.5%, down from a 3.1% increase in June and missed analysts' forecasts of 4.5% growth despite the summer travel season.

It was the slowest growth since December 2022, showing how much of a challenge authorities face as they try to make consumption the key driver of future economic growth.

MORE STIMULUS

Asian stocks stalled at one-month lows, the yuan hit a 9-month nadir while the dollar held broadly firm after the weak Chinese data and latest policy easing measures.

Following the first rate cuts, China's major state-owned banks were seen selling U.S. dollars and buying yuan in a bid to stem rapid declines in the currency, three people with direct knowledge of the matter said. Sovereign bond yields fell to three-year lows, and benchmark stock indexes were down.

Record-low credit growth and rising deflation risks in July necessitated more monetary easing measures to arrest the slowdown, market watchers said, while default risks at some housing developers and missed payments by a private wealth manager also soured market confidence.

Nie Wen, an economist at Hwabao Trust, expects special bonds to be introduced urgently and said the probability of a reserve requirement ratio (RRR) cut in the short run is relatively large.

Policymakers last month released a batch of stimulus measures, from boosting auto and home appliances consumption, relaxing some property restrictions to pledging support to the private sector, as a post-COVID rebound rapidly lost steam since the second quarter.

The catering sector, which reaped benefits from the COVID reopening, saw slower revenue growth in July from June. Investment in the private sector shrank 0.5% in the first seven months, extending 0.2% decline in the first half of 2023.

Reuters Graphics

STRUCTURAL PAINS

The persistent drag in the property sector, mounting local government debt pressure, high youth jobless rate and cooling foreign demand continue to be major impediments to fostering a sustainable economic revival.

China is undergoing a painful transition to a less debt-fuelled, less property-centric and more consumer-driven economy, said Robert Carnell, Asia-Pacific head of research at ING.

""We will continue to see weak macro data for the foreseeable future. It is a necessary part of the adjustment and is far preferable to resurrecting the debt-fuelled property model that propelled growth previously. But we do need to lower our expectations for China's growth.""

Other data on Tuesday showed fixed asset investment expanded 3.4% in the first seven months of 2023 from the same period a year earlier, versus expectations for a 3.8% rise. It grew 3.8% in the January-June period.

Investment in the property sector tumbled 8.5% year-on-year in January-July, after shrinking 7.9% in January-June, extending its fall for the 17th consecutive month.

The nationwide survey-based jobless rate climbed slightly to 5.3% from 5.2% in June. Among OECD members, the average unemployment rate was 4.8%, with youth joblessness around 10%.

China set its 2023 growth target at around 5%, but Nomura analysts warn the country could miss the goal again as it did last year.

""We also see bigger downside risk to our 4.9% y-o-y growth forecast for both Q3 and Q4, and it is increasingly possible that annual GDP growth this year will miss the 5.0% mark.""

($1 = 7.2838 Chinese yuan renminbi)

Additional reporting by Liangping Gao and Albee Zhang; Editing by Shri Navaratnam and Ed Osmond

Our Standards: The Thomson Reuters Trust Principles.",1
"UK basic wage growth hits record, adding to Bank of England's worries","Summary

Companies Basic wage growth +7.8% vs Reuters poll +7.4%

Total wages also up by more than expected at +8.2%

Some signs of cooling in jobs market too

Jobless rate rises to 4.2% from 4.0%

Sterling gains, investors add to bets on more rate hikes

LONDON, Aug 15 (Reuters) - Basic wages in Britain hit a new record growth rate, figures showed on Tuesday, adding to worries for the Bank of England (BoE) about long-term inflation pressures even after 14 back-to-back increases in interest rates.

Official data showed some fresh signs of cooling in the jobs market with the unemployment rate unexpectedly rising to 4.2% from 4.0%, the highest since the three months to October 2021 and climbing more quickly than the BoE has forecast.

But the 7.8% increase in basic earnings - the strongest in records data back to 2001 - represented further impetus for Britain's high rate of inflation with many employers resorting to increased pay offers to retain or attract staff.

Annual pay growth including bonuses also accelerated, hitting 8.2%, the fastest outside the coronavirus pandemic period when government job subsidies distorted the data.

Economists polled by Reuters had expected smaller increases in both measures of pay.

Sterling rose against the dollar and euro after Tuesday's data. Two-year British government bond yields, which are sensitive to speculation about BoE rate changes, hit their highest level in a month.

Samuel Tombs, an economist with Pantheon Macroeconomics, said wage increases were set to slow in the second half of 2023.

""It usually takes time for changes in labour market tightness to feed through to wage growth, and several survey indicators now point to slowing wage increases,"" he said, adding he expected the BoE's Monetary Policy Committee (MPC) would hike rates one more time to 5.5%.

""The momentum in wage growth still is too strong for the Committee to take a break just yet,"" Tombs said.

Pay growth looks set to overtake the rate of consumer price inflation which is forecast to have slowed to 6.8% in July in data due to be released by the ONS on Wednesday.

Markets saw a roughly 55% chance of the BoE's benchmark rates hitting 6% in early 2024, up from their current level of 5.25%. On Monday, the chance of rates going that high stood at about one in three.

""MATERIALLY ABOVE""

Governor Andrew Bailey said earlier this month that the rate of pay growth was ""materially above"" the central bank's forecasts but the BoE also signalled it was getting close to pausing its run of interest rate increases.

Bailey and his colleagues may take comfort from some signals of a cooling in the labour market beyond the data on pay.

As well the surprise rise in the unemployment rate, the number of people in employment fell by 66,000 and job vacancies extended their run of falls to their lowest since mid-2021, also dropping by 66,000 on the quarter to 1.02 million.

Experimental payroll data from the tax office - which is more timely than the ONS data but prone to big revisions - pointed to a sharp pull-back in pay growth in July.

However, inactivity due to long-term sickness rose to a new record high, adding to the problems for employers seeking to fill job vacancies and adding to the pressure on pay growth.

The inactivity rate - which measures people out of work and not looking for it, and which the BoE hopes to see fall - edged up slightly, the first increase in roughly a year.

Public sector pay growth surged to a new record high, up by an annual 9.6% in the three months to June including bonuses, following a series of industrial actions that resulted in improved pay settlements for some groups of workers.

""Make no mistake, the battle to push up pay has been hard fought and it's certainly far from over,"" Sharon Graham, secretary general of Unite the Union, said.

Additional reporting by Sachin Ravikumar; Editing by Sharon Singleton

Our Standards: The Thomson Reuters Trust Principles.",1
China central bank unexpectedly cuts rates to support sputtering economy,"Paramilitary police officers stand guard in front of the headquarters of the People's Bank of China, the central bank (PBOC), in Beijing, China September 30, 2022. REUTERS/Tingshu Wang/File Photo

SHANGHAI/SINGAPORE, Aug 15 (Reuters) - China's central bank unexpectedly cut key policy rates for the second time in three months on Tuesday, in a fresh sign that the authorities are ramping up monetary easing efforts to boost a sputtering economic recovery.

Analysts said the move opened the door to a potential cut in China's lending benchmark loan prime rate (LPR) next week.

Tumbling credit growth and rising deflation risks in July necessitated more monetary easing measures to arrest the slowdown, market watchers said, while default risks at some housing developers and missed payments by a private wealth manager also affected financial market confidence.

""All of these add to the urgency that policymakers need to act fast before consumer and business confidence deteriorate sharply,"" said Tommy Wu, senior China economist at Commerzbank.

The People's Bank of China (PBOC) said it lowered the rate on 401 billion yuan ($55.25 billion) worth of one-year medium-term lending facility (MLF) loans to some financial institutions by 15 basis points to 2.50% from 2.65% previously.

The cash injection was to counteract factors including tax payments in order to ""keep banking system liquidity reasonably ample"", the PBOC said in an online statement.

In a Reuters poll of 26 market watchers conducted this week, 20 participants, or 77%, predicted that the central bank would leave the MLF rate unchanged. Only six respondents forecast a marginal rate reduction.

""The surprising rate cut was a prompt response to support subdued credit data and China recovery (that) may unleash yuan depreciation pressure towards 7.3,"" said Ken Cheung, chief Asian FX strategist at Mizuho Bank.

""In particularly, the PBOC may intend to support the medium-term credit conditions via the asymmetric cut, and opened the way for a cut to LPR, especially the 5-year LPR, to support the struggling property sector.""

The MLF rate serves as a guide to the LPR and markets mostly use the medium-term policy rate as a precursor to any changes to the lending benchmarks. The monthly fixing of the LPR is due next Monday.

The central bank also injected 204 billion yuan through seven-day reverse repos while cutting borrowing costs by 10 basis points to 1.80% from 1.90% previously, it said in an online statement.

China remains an outlier among global central banks as it has loosened monetary policy to shore up a stalling recovery whereas others have been in tightening cycles as they battle high inflation.

Tuesday's rate move has widened the yield gap with other major economies, particularly the United States, putting more pressure on the yuan and risking outflows.

China's yuan has lost about 5% against the dollar so far this year to become one of the worst performing Asian currencies. The yuan traded at 7.2842 per dollar as of 0145 GMT, compared with the previous close of 7.2580.

Yields on China's 10-year government bonds eased to 2.56%, the lowest level since May 2020.

The PBOC lowered key policy rates in June to prop up the broad economy, but data has been increasingly weak since.

($1 = 7.2585 Chinese yuan)

Reporting by Winni Zhou and Rae Wee; Editing by Kim Coghill and Jamie Freed

Our Standards: The Thomson Reuters Trust Principles.",1
Binance files for protective order against SEC,"Binance logo is seen in this illustration taken March 31, 2023. REUTERS/Dado Ruvic/Illustration/File Photo

Aug 15 (Reuters) - Crypto exchange Binance late on Monday filed for a protective court order against the U.S. Securities and Exchange Commission saying the regulator's requests for information were ""over broad"" and ""unduly burdensome"".

In a court filing in the US District Court of Columbia, BAM Trading, Binance U.S.'s operating company and BAM Management said the group had already provided sufficient information to the regulator.

The protective order seeks to limit the SEC, among other things, to four depositions from BAM employees, and to drop the deposition of BAM's chief executive and of its chief financial officer, without naming anyone.

Binance and the SEC did not immediately respond to a request for comment.

In June, U.S. regulators sued Binance and CEO Changpeng Zhao for allegedly operating a ""web of deception,"" listing 13 charges including claims that the company artificially inflated its trading volumes, diverted customer funds, failed to restrict U.S. customers from its platform and misled investors about its market surveillance controls.

""...the SEC has still yet to identify any evidence suggesting that customer assets were misused or dissipated in any way,"" the filing said.

The SEC has declined BAM's proposals to meaningfully limit its requests and is opposed to the motion for a protective order, the filing said.

Reporting by Lavanya Ahire in Bengaluru; Editing by Kim Coghill and Sharon Singleton

Our Standards: The Thomson Reuters Trust Principles.",1
Japan's policymakers hold fire as yen enters intervention range,"Banknotes of Japanese yen are seen in this illustration picture taken September 23, 2022. REUTERS/Florence Lo/Illustration

TOKYO, Aug 15 (Reuters) - As the yen slid past 145 per dollar with barely a murmur from Japanese policymakers during recent days, suspicion grew that they won't be as quick to order intervention as they were last year as they now reap some benefits from a weaker currency.

Surging exports helped economic growth hit 6% on an annualised basis in the second quarter, and lower global oil prices have helped keep a lid on the import bill.

But a key factor behind the yen's weakness is unchanged, namely the yawning yield gap with the United States. The Bank of Japan is taking baby steps away from its ultra-loose monetary policy, and there are increasing hopes that U.S. rates may have peaked, but as of now, the bond market provides a good reason to sell yen.

Yet currency traders remain nervous about provoking intervention, as the yen entered the same zone that triggered heavy dollar selling by Japanese authorities in September and October of last year.

Finance Minister Shunichi Suzuki issued a reminder on Tuesday against causing volatility in the exchange rate, as the

yen struck a 9/1-2 month low of 145.60 in Asian trading.

Suzuki warned that rapid moves are ""undesirable"" and the government is ""ready to respond appropriately,"" while reiterating that no specific levels are targeted for intervention.

Officials had been a lot more vociferous in June when the yen weakened past 144, and their subdued response to the latest depreciation was interpreted by market participants as a sign that Tokyo will tolerate a bit more weakness so long as speculators didn't push it too fast.

""The pain associated with the 145-150 level is less now for the economy, so I don't think they'll be quite as aggressive as they were last year,"" said Aaron Hurd, a senior portfolio manager at State Street Global Advisors in Boston.

If the uptrend for the dollar-yen rate is gradual, intervention isn't likely until ""around 150 or a little bit above,"" he said.

For now, traders are testing the waters by selling the yen against sterling and the Swiss franc, mindful that selling against the dollar could gather momentum quickly.

NO IMPERATIVE TILL 150

Japan spent more than 9 trillion yen ($62 billion) intervening in currency markets last year to arrest the yen's decline, buying yen in September and October - first at levels around 145 and again at a 32-year low just short of 152.

At the end of August last year, the price of Brent crude oil was about $105 per barrel, and complaints about the pain from imported energy prices were in the Japanese press on a daily basis.

""Not only economically, but also politically, yen weakness at that time was a problem, and it clearly impacted the government's approval rating,"" said Masayuki Kichikawa, chief macro strategist at Sumitomo Mitsui DS Asset Management in Tokyo.

The price of Brent is now around $88, and those complaints over imported fuel have faded into memory.

From a purely macroeconomic perspective, Kichikawa said, officials have no imperative to prevent yen weakness before 150, which is consistent with the mild inflationary pressure that the BOJ aims to foster.

The bond market, which precipitated the yen's slide, may ultimately give Japan's authorities reason to hold off on pressing the intervention button.

Should the lynchpin 10-year U.S. Treasury yield stabilise not far above 4%, and Japanese yields rise towards the BOJ's new 1% cap, Japanese authorities may be inclined to let market forces perform a gradual recovery in the yen as the yield gap closes.

""The policy divergence story is going to turn, if it hasn't already,"" said Shinichiro Kadota, a currency strategist at Barclays in Tokyo. ""The risk of intervention definitely increases above 145, but the urgency is less.""

($1 = 145.4900 yen)

Reporting by Kevin Buckland and Saqib Iqbal Ahmed; editing by Simon Cameron-Moore

Our Standards: The Thomson Reuters Trust Principles.",1
Activist investor Elliott Investment Management dissolves stake in PayPal,"The PayPal app logo seen on a mobile phone in this illustration photo October 16, 2017. REUTERS/Thomas White/File Photo

Aug 14 (Reuters) - Activist investor Elliott Investment Management has dissolved its stake in payments giant PayPal (PYPL.O), according to a filing with the U.S. Securities and Exchange Commission.

Reporting by Manya Saini in Bengaluru; Editing by Shilpi Majumdar

Our Standards: The Thomson Reuters Trust Principles.",1
